lr,batch_size,dropout,augment,val_accuracy,val_f1_macro,experiment_name
0.1,128,0.25,True,0.8716,0.8714634613057001,baseline_bs128_lr0.1_drop0.25_aug1
0.05,64,0.25,True,0.8716,0.8715742358865229,baseline_bs64_lr0.05_drop0.25_aug1
0.01,64,0.25,True,0.8706,0.8706609421067831,baseline_bs64_lr0.01_drop0.25_aug1
0.05,128,0.5,True,0.8696,0.8692566810342285,baseline_bs128_lr0.05_drop0.5_aug1
0.05,64,0.5,True,0.8692,0.8689444564711485,baseline_bs64_lr0.05_drop0.5_aug1
0.1,256,0.5,True,0.8682,0.8681838878430105,baseline_bs256_lr0.1_drop0.5_aug1
0.1,128,0.5,True,0.8676,0.8675181868038377,baseline_bs128_lr0.1_drop0.5_aug1
0.05,256,0.25,True,0.867,0.866843938664265,baseline_bs256_lr0.05_drop0.25_aug1
0.1,256,0.25,True,0.867,0.8669396343763168,baseline_bs256_lr0.1_drop0.25_aug1
0.05,128,0.25,True,0.8668,0.8670307597818752,baseline_bs128_lr0.05_drop0.25_aug1
0.01,64,0.5,True,0.8638,0.8638104837252396,baseline_bs64_lr0.01_drop0.5_aug1
0.05,256,0.5,True,0.8634,0.8628825650311176,baseline_bs256_lr0.05_drop0.5_aug1
0.01,128,0.25,True,0.8626,0.8627205018231916,baseline_bs128_lr0.01_drop0.25_aug1
0.1,64,0.25,True,0.8606,0.8602868208375748,baseline_bs64_lr0.1_drop0.25_aug1
0.01,128,0.5,True,0.8504,0.8503206246639264,baseline_bs128_lr0.01_drop0.5_aug1
0.01,256,0.25,True,0.8482,0.8480552348687365,baseline_bs256_lr0.01_drop0.25_aug1
0.01,256,0.5,True,0.8426,0.8426627610548947,baseline_bs256_lr0.01_drop0.5_aug1
0.1,64,0.5,True,0.8304,0.8302662390212664,baseline_bs64_lr0.1_drop0.5_aug1
0.1,64,0.25,False,0.813,0.8132904456721164,baseline_bs64_lr0.1_drop0.25_aug0
0.05,64,0.5,False,0.8126,0.812692542104242,baseline_bs64_lr0.05_drop0.5_aug0
0.1,64,0.5,False,0.809,0.809417568489468,baseline_bs64_lr0.1_drop0.5_aug0
0.1,128,0.5,False,0.807,0.8069917147403416,baseline_bs128_lr0.1_drop0.5_aug0
0.05,64,0.25,False,0.8046,0.8044824664674936,baseline_bs64_lr0.05_drop0.25_aug0
0.1,256,0.5,False,0.8022,0.8025034334164088,baseline_bs256_lr0.1_drop0.5_aug0
0.05,128,0.5,False,0.8012,0.801325094092166,baseline_bs128_lr0.05_drop0.5_aug0
0.01,64,0.25,False,0.7996,0.799043376336616,baseline_bs64_lr0.01_drop0.25_aug0
0.05,256,0.5,False,0.7988,0.7986436867591906,baseline_bs256_lr0.05_drop0.5_aug0
0.1,128,0.25,False,0.798,0.79774457221424,baseline_bs128_lr0.1_drop0.25_aug0
0.01,128,0.5,False,0.7974,0.7959464478197008,baseline_bs128_lr0.01_drop0.5_aug0
0.05,128,0.25,False,0.7958,0.7955220116775228,baseline_bs128_lr0.05_drop0.25_aug0
0.01,128,0.25,False,0.7948,0.7929055527018367,baseline_bs128_lr0.01_drop0.25_aug0
0.05,256,0.25,False,0.794,0.7928472010265173,baseline_bs256_lr0.05_drop0.25_aug0
0.01,256,0.5,False,0.7926,0.7919874210542439,baseline_bs256_lr0.01_drop0.5_aug0
0.1,256,0.25,False,0.7924,0.7927971649849318,baseline_bs256_lr0.1_drop0.25_aug0
0.01,64,0.5,False,0.791,0.7923752071444852,baseline_bs64_lr0.01_drop0.5_aug0
0.01,256,0.25,False,0.7854,0.783895264002037,baseline_bs256_lr0.01_drop0.25_aug0
